Brand,Screen_Size,RAM,Processor,GPU,Price,,
Microsoft,13,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,650,,
Lenovo,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,314.5,,
Dell,14,32,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,959.99,,
Dell,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,679.99,,
HP,14,8,Intel Core i7 7th Gen.,Intel HD Graphics 620,199.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel UHD Graphics,359.75,,
Dell,15.6,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,585,,
Dell,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,299,,
Lenovo,15.6,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,319.99,,
Dell,15.6,32,Intel Core i5 8th Gen.,Intel UHD Graphics,315.99,,
MSI,15.6,16,Intel Core i7 11th Gen.,NVIDIA GeForce RTX 3060,699.99,,
Dell,14,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,379.99,,
HP,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,299.95,,
HP,17.3,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,399.99,,
Lenovo,14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,499.99,,
Dell,14,16,Intel Core i5 8th Gen.,Integrated,179.95,,
Microsoft,12.4,8,Intel Core i5 10th Gen.,Intel UHD Graphics,265,,
Dell,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,288.99,,
Dell,11.6,16,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,293.99,,
Microsoft,12.4,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,479.99,,
HP,14,8,Intel Core i5 12th Gen.,Intel® Iris XE,369.55,,
Samsung,13.3,8,Intel Core i5 11th Gen.,Intel UHD Graphics,299.99,,
Lenovo,15.6,16,AMD Ryzen 5 5000 Series,AMD Radeon Graphics,345.95,,
HP,15.6,8,AMD Ryzen 5 7000 Series,NVIDIA GeForce RTX 2050,538.75,,
HP,14,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphics,699.99,,
Lenovo,14,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,999.99,,
Asus,15.6,16,Intel Core i7 12th Gen.,Intel Iris Xe Graphic,534.86,,
LG,14,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,329.99,,
Dell,11.6,16,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,314.99,,
HP,13.3,8,Intel Core i7 7th Gen.,Intel HD Graphics 620,239.99,,
Dell,13.3,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,355,,
Dell,16,32,Intel Core i7 13th Gen.,INVIDIA RTX A1000,940,,
Dell,12.5,16,Intel Core i7 6th Gen.,Intel® HD Graphics,219.88,,
Lenovo,14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,449.99,,
Lenovo,14,16,Intel Core i7 6th Gen.,NVIDIA Quadro M500M,299.99,,
Lenovo,14,8,Intel Core i5 6th Gen.,Skylake GT2 [HD Graphics 520],128.99,,
Lenovo,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Lenovo,15.6,16,Intel Core i7 10th Gen.,NVIDIA GeForce GTX 1650 Ti Max-Q,619.99,,
Dell,16,16,Intel Core i7 13th Gen.,NVIDIA GeForce MX550,879,,
Lenovo,12,16,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,601.79,,
Lenovo,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,259.99,,
Lenovo,14,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,750,,
Samsung,15.6,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,479.99,,
Dell,13.3,8,Intel Core i5 10th Gen.,,195,,
HP,14,16,Intel Core i7 7th Gen.,Intel HD Graphics 620,209.99,,
Dell,13.4,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,549.99,,
Microsoft,13,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,50,,
Acer,15.6,8,Intel Core i3 11th Gen.,Intel UHD Graphics,289,,
Samsung,16,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,929.99,,
Microsoft,13,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,650,,
Dell,12.5,16,Intel Core i7 6th Gen.,Intel HD Graphics 520,219,,
Dell,12.5,16,Intel Core i7 7th Gen.,Intel HD Graphics 620,239,,
Lenovo,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,259.99,,
Asus,15.6,16,Intel Core i9 13th Gen.,NVIDIA GeForce RTX 3050,570,,
Lenovo,13.3,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,169.99,,
Gateway,14.1,8,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,324.99,,
Dell,14,16,Intel Core i5 6th Gen.,Intel HD Graphics 520,278.98,,
Lenovo,13.3,8,Intel Core i5 10th Gen.,Intel UHD Graphics,224.95,,
Dell,14,8,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,274.99,,
Panasonic,10.1,16,Intel Core i5 7th Gen.,Intel HD Graphics 615,699,,
Lenovo,14,8,Intel Core i5 10th Gen.,Intel UHD Graphics,256.45,,
Lenovo,14,8gb,Intel Core i5 8th Gen.,Intel UHD Graphics,239.99,,
Lenovo,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,550,,
HP,15.6,16,Intel Core i7 10th Gen.,AMD Radeon Pro W5500M,599,,
Acer,15.6,16,Intel Core i5 11th Gen.,NVIDIA GeForce RTX 3050 Ti,668.95,,
Dell,15.6,16,Intel Core i5 6th Gen.,Intel HD Graphics 520,199,,
Microsoft,13.5,8,Intel Core i5 10th Gen.,,399,,
Lenovo,16,8,Intel Core i3 12th Gen.,Integrated Intel UHD Graphics,309.99,,
Microsoft,12.4,4,Intel Core i5 10th Gen.,Intel UHD Graphics,250,,
Dell,11.6,16,Intel Core i5 7th Gen.,Intel(R) HD Graphics 620,381.99,,
Dell,13.3,8,Intel Core i3 6th Gen.,Intel HD Graphics 520,159.95,,
Dell,16,32,Intel Core i7 13th Gen.,INVIDIA RTX A1000,810,,
Dell,16,16,Intel Core i7 13th Gen.,NVIDIA GeForce MX550,859.99,,
Lenovo,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,237.5,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,274.99,,
Dell,15.6,16,Intel Core i5 13th Gen.,Intel Iris Xe Graphics,474.95,,
Lenovo,14,16,Intel Core i7 8th Gen.,Intel UHD Graphics 620,319.99,,
Dell,14,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,377.99,,
HP,11.6,8,Intel Core i5 8th Gen.,Intel UHD Graphics 615,179.99,,
Lenovo,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,349.95,,
Lenovo,14,8,Intel Core i5 6th Gen.,Intel HD Graphics 520,159.99,,
Acer,15.6,8,AMD Ryzen 5 7000 Series,AMD Radeon Graphics,349,,
Dell,14,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,274.99,,
Dell,14.1,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Dell,14,32,Intel Core i7 8th Gen.,Intel UHD Graphics 620,399.99,,
Dell,14,64,Intel Core i7 7th Gen.,Intel HD Graphics 620,339.99,,
HP,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,369,,
Microsoft,15,16,Intel Core i7 10th Gen.,,699.99,,
Asus,15.6,16,AMD Ryzen 5 7000 Series,Intel UHD Graphics,279.99,,
Lenovo,14,8,Intel Core i3 11th Gen.,Intel UHD Graphics,199.99,,
Lenovo,14,32,Intel Core i7 7th Gen.,,339.99,,
HP,14,16,Intel Core i5 12th Gen.,Intel Iris Xe Graphics,309.99,,
HP,14,16,Intel Core i7 10th Gen.,Intel UHD Graphics,499,,
Dell,15.6,64,Intel Core i5 8th Gen.,Intel UHD Graphics 620,358,,
Lenovo,15.6,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,398.75,,
Lenovo,14,8,Intel Core i5 8th Gen.,Intel UHD Graphics 620,296.96,,
Acer,14,8,Intel Core i5 11th Gen.,Intel Iris Xe Graphics,334.99,,
Lenovo,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,359.96,,
Microsoft,13.5,16,Intel Core i7 11th Gen.,Intel Iris Xe Graphics,499.99,,
Lenovo,14,16,Intel Core i7 13th Gen.,Intel Iris Xe Graphics,999.99,,
HP,15.6,8,Intel Core i3 12th Gen.,Intel UHD Graphics,319,,
Lenovo,14,16,Intel Core i5 10th Gen.,Intel UHD Graphics,422.96,,
Asus,17.3,8,Intel Core i5 12th Gen.,Intel UHD Graphics,384,,
HP,15.6,64,Intel Core i7 8th Gen.,Intel UHD Graphics 620,387.99,,
